Fraction Removed,LCC Size,Number of Components
0.0000,2500,1
0.0002,2499,1
0.0004,2498,1
0.0006,2497,1
0.0008,2496,1
0.0010,2495,1
0.0012,2494,1
0.0014,2493,1
0.0016,2492,1
0.0018,2491,1
0.0020,2490,1
0.0022,2489,1
0.0024,2488,1
0.0026,2487,1
0.0028,2486,1
0.0030,2485,1
0.0032,2484,1
0.0034,2483,1
0.0036,2482,1
0.0038,2481,1
0.0040,2480,1
0.0042,2479,1
0.0044,2478,1
0.0046,2477,1
0.0048,2476,1
0.0050,2475,1
0.0052,2474,1
0.0054,2473,1
0.0056,2472,1
0.0058,2471,1
0.0060,2470,1
0.0062,2469,1
0.0064,2468,1
0.0066,2467,1
0.0068,2466,1
0.0070,2465,1
0.0072,2464,1
0.0074,2463,1
0.0076,2462,1
0.0078,2461,1
0.0080,2460,1
0.0082,2459,1
0.0084,2458,1
0.0086,2457,1
0.0088,2456,1
0.0090,2455,1
0.0092,2454,1
0.0094,2452,2
0.0096,2451,2
0.0098,2450,2
0.0100,2449,2
0.0102,2448,2
0.0104,2447,2
0.0106,2445,3
0.0108,2444,3
0.0110,2443,3
0.0112,2442,3
0.0114,2441,3
0.0116,2440,3
0.0118,2439,3
0.0120,2438,3
0.0122,2437,3
0.0124,2436,3
0.0126,2435,3
0.0128,2434,3
0.0130,2433,3
0.0132,2432,3
0.0134,2431,3
0.0136,2430,3
0.0138,2429,3
0.0140,2428,3
0.0142,2427,3
0.0144,2426,3
0.0146,2425,3
0.0148,2424,3
0.0150,2423,3
0.0152,2421,4
0.0154,2420,4
0.0156,2419,4
0.0158,2418,4
0.0160,2417,4
0.0162,2416,4
0.0164,2415,4
0.0166,2413,5
0.0168,2412,5
0.0170,2411,5
0.0172,2410,5
0.0174,2409,5
0.0176,2408,5
0.0178,2407,5
0.0180,2406,5
0.0182,2404,6
0.0184,2403,6
0.0186,2402,6
0.0188,2401,6
0.0190,2400,6
0.0192,2399,6
0.0194,2398,6
0.0196,2397,6
0.0198,2396,6
0.0200,2395,6
0.0202,2394,6
0.0204,2393,6
0.0206,2392,6
0.0208,2391,6
0.0210,2390,6
0.0212,2389,6
0.0214,2387,7
0.0216,2386,7
0.0218,2385,7
0.0220,2384,7
0.0222,2383,7
0.0224,2382,7
0.0226,2381,7
0.0228,2380,7
0.0230,2379,7
0.0232,2378,7
0.0234,2377,7
0.0236,2375,8
0.0238,2374,8
0.0240,2372,9
0.0242,2371,9
0.0244,2370,9
0.0246,2369,9
0.0248,2368,9
0.0250,2367,9
0.0252,2366,9
0.0254,2365,9
0.0256,2364,9
0.0258,2363,9
0.0260,2362,9
0.0262,2361,9
0.0264,2360,9
0.0266,2359,9
0.0268,2358,9
0.0270,2357,9
0.0272,2355,10
0.0274,2354,10
0.0276,2352,11
0.0278,2351,11
0.0280,2349,12
0.0282,2347,13
0.0284,2346,13
0.0286,2345,13
0.0288,2344,13
0.0290,2343,13
0.0292,2342,13
0.0294,2341,13
0.0296,2340,13
0.0298,2339,13
0.0300,2338,13
0.0302,2337,13
0.0304,2336,13
0.0306,2334,14
0.0308,2333,14
0.0310,2332,14
0.0312,2331,14
0.0314,2329,15
0.0316,2327,16
0.0318,2326,16
0.0320,2323,18
0.0322,2322,18
0.0324,2321,18
0.0326,2319,19
0.0328,2318,19
0.0330,2317,19
0.0332,2316,19
0.0334,2315,19
0.0336,2314,19
0.0338,2312,20
0.0340,2311,20
0.0342,2310,20
0.0344,2309,20
0.0346,2308,20
0.0348,2305,22
0.0350,2304,22
0.0352,2303,22
