Fraction Removed,LCC Size,Number of Components
0.0000,2500,1
0.0002,2499,1
0.0004,2498,1
0.0006,2497,1
0.0008,2496,1
0.0010,2495,1
0.0012,2494,1
0.0014,2493,1
0.0016,2492,1
0.0018,2491,1
0.0020,2490,1
0.0022,2489,1
0.0024,2488,1
0.0026,2487,1
0.0028,2486,1
0.0030,2485,1
0.0032,2484,1
0.0034,2483,1
0.0036,2482,1
0.0038,2481,1
0.0040,2480,1
0.0042,2479,1
0.0044,2478,1
0.0046,2477,1
0.0048,2476,1
0.0050,2475,1
0.0052,2474,1
0.0054,2473,1
0.0056,2472,1
0.0058,2471,1
0.0060,2470,1
0.0062,2469,1
0.0064,2468,1
0.0066,2467,1
0.0068,2466,1
0.0070,2465,1
0.0072,2464,1
0.0074,2463,1
0.0076,2462,1
0.0078,2461,1
0.0080,2460,1
0.0082,2459,1
0.0084,2458,1
0.0086,2457,1
0.0088,2456,1
0.0090,2455,1
0.0092,2454,1
0.0094,2453,1
0.0096,2452,1
0.0098,2451,1
0.0100,2450,1
0.0102,2449,1
0.0104,2448,1
0.0106,2447,1
0.0108,2446,1
0.0110,2445,1
0.0112,2444,1
0.0114,2443,1
0.0116,2442,1
0.0118,2441,1
0.0120,2440,1
0.0122,2439,1
0.0124,2438,1
0.0126,2437,1
0.0128,2436,1
0.0130,2435,1
0.0132,2434,1
0.0134,2433,1
0.0136,2432,1
0.0138,2431,1
0.0140,2430,1
0.0142,2429,1
0.0144,2428,1
0.0146,2427,1
0.0148,2426,1
0.0150,2425,1
0.0152,2424,1
0.0154,2423,1
0.0156,2422,1
0.0158,2421,1
0.0160,2420,1
0.0162,2419,1
0.0164,2418,1
0.0166,2416,2
0.0168,2415,2
0.0170,2414,2
0.0172,2413,2
0.0174,2412,2
0.0176,2411,2
0.0178,2410,2
0.0180,2409,2
0.0182,2408,2
0.0184,2407,2
0.0186,2406,2
0.0188,2405,2
0.0190,2404,2
0.0192,2403,2
0.0194,2402,2
0.0196,2401,2
0.0198,2400,2
0.0200,2399,2
0.0202,2398,2
0.0204,2397,2
0.0206,2396,2
0.0208,2395,2
0.0210,2394,2
0.0212,2393,2
0.0214,2392,2
0.0216,2391,2
0.0218,2390,2
0.0220,2389,2
0.0222,2388,2
0.0224,2387,2
0.0226,2386,2
0.0228,2385,2
0.0230,2384,2
0.0232,2383,2
0.0234,2382,2
0.0236,2381,2
0.0238,2380,2
0.0240,2379,2
0.0242,2378,2
0.0244,2377,2
0.0246,2376,2
0.0248,2375,2
0.0250,2374,2
0.0252,2373,2
0.0254,2372,2
0.0256,2371,2
0.0258,2370,2
0.0260,2369,2
0.0262,2368,2
0.0264,2367,2
0.0266,2366,2
0.0268,2365,2
0.0270,2364,2
0.0272,2363,2
0.0274,2362,2
0.0276,2361,2
0.0278,2360,2
0.0280,2359,2
0.0282,2358,2
0.0284,2357,2
0.0286,2356,2
0.0288,2355,2
0.0290,2354,2
0.0292,2352,3
0.0294,2351,3
0.0296,2350,3
0.0298,2349,3
0.0300,2348,3
0.0302,2347,3
0.0304,2346,3
0.0306,2345,3
0.0308,2344,3
0.0310,2343,3
0.0312,2342,3
0.0314,2341,3
0.0316,2340,3
0.0318,2339,3
0.0320,2338,3
0.0322,2337,3
0.0324,2336,3
0.0326,2335,3
0.0328,2334,3
0.0330,2333,3
0.0332,2332,3
0.0334,2331,3
0.0336,2330,3
0.0338,2329,3
0.0340,2328,3
0.0342,2327,3
0.0344,2326,3
0.0346,2325,3
0.0348,2324,3
0.0350,2323,3
0.0352,2322,3
