Fraction Removed,LCC Size,Number of Components
0.0000,2439,11
0.0002,2438,11
0.0004,2437,11
0.0006,2436,11
0.0008,2435,11
0.0010,2434,11
0.0012,2433,11
0.0014,2432,11
0.0016,2431,11
0.0018,2430,11
0.0020,2429,11
0.0022,2428,11
0.0024,2427,11
0.0026,2426,11
0.0028,2425,11
0.0030,2424,11
0.0032,2423,11
0.0034,2422,11
0.0036,2421,11
0.0038,2420,11
0.0040,2419,11
0.0042,2418,11
0.0044,2417,11
0.0046,2416,11
0.0048,2415,11
0.0050,2414,11
0.0052,2413,11
0.0054,2412,11
0.0056,2411,11
0.0058,2410,11
0.0060,2409,11
0.0062,2408,11
0.0064,2407,11
0.0066,2406,11
0.0068,2405,11
0.0070,2404,11
0.0072,1229,12
0.0074,1228,12
0.0076,1227,12
0.0078,1226,12
0.0080,1226,12
0.0082,1226,12
0.0084,1226,12
0.0086,1226,12
0.0088,1226,13
0.0090,1225,13
0.0092,1224,13
0.0094,1223,13
0.0096,1098,14
0.0098,1097,14
0.0100,1096,14
0.0102,1095,14
0.0104,1094,14
0.0106,1093,14
0.0108,1092,14
0.0110,1091,14
0.0112,1090,14
0.0114,1089,14
0.0116,808,15
0.0118,808,15
0.0120,808,15
0.0122,808,15
0.0124,808,15
0.0126,808,15
0.0128,808,15
0.0130,808,15
0.0132,808,15
0.0134,808,15
0.0136,808,15
0.0138,808,15
0.0140,808,15
0.0142,808,15
0.0144,808,15
0.0146,808,15
0.0148,808,15
0.0150,808,16
0.0152,807,16
0.0154,806,16
0.0156,805,16
0.0158,804,16
0.0160,803,16
0.0162,802,16
0.0164,801,16
0.0166,800,16
0.0168,799,16
0.0170,798,16
0.0172,797,16
0.0174,796,16
0.0176,795,16
0.0178,794,16
0.0180,502,17
0.0182,501,17
0.0184,500,17
0.0186,499,17
0.0188,450,18
0.0190,449,18
0.0192,448,18
0.0194,447,18
0.0196,361,19
0.0198,360,19
0.0200,358,20
0.0202,357,20
0.0204,356,20
0.0206,355,20
0.0208,354,20
0.0210,343,21
0.0212,343,21
0.0214,343,21
0.0216,343,21
0.0218,343,21
0.0220,343,22
0.0222,342,22
0.0224,341,22
0.0226,340,22
0.0228,339,22
0.0230,338,22
0.0232,337,22
0.0234,336,22
0.0236,335,22
0.0238,268,23
0.0240,268,23
0.0242,268,23
0.0244,268,24
0.0246,267,24
0.0248,266,24
0.0250,265,24
0.0252,264,24
0.0254,237,25
0.0256,236,25
0.0258,235,25
0.0260,234,25
0.0262,230,26
0.0264,230,26
0.0266,230,26
0.0268,230,26
0.0270,230,26
0.0272,230,27
0.0274,229,27
0.0276,228,27
0.0278,227,27
0.0280,211,28
0.0282,210,28
0.0284,197,29
0.0286,197,29
0.0288,197,29
0.0290,197,30
0.0292,197,30
0.0294,196,30
0.0296,196,30
0.0298,196,30
0.0300,196,30
0.0302,196,31
0.0304,195,31
0.0306,194,31
0.0308,164,32
0.0310,164,32
0.0312,164,33
0.0314,164,33
0.0316,164,33
0.0318,164,34
0.0320,164,34
0.0322,164,34
0.0324,164,34
0.0326,164,35
0.0328,164,35
0.0330,164,35
0.0332,164,36
0.0334,164,36
0.0336,164,36
0.0338,164,36
0.0340,164,37
0.0342,164,37
0.0344,164,38
0.0346,164,38
0.0348,164,38
0.0350,164,38
0.0352,164,38
0.0354,164,39
0.0356,164,39
0.0358,164,39
0.0360,164,39
0.0362,164,39
0.0364,164,39
0.0366,164,40
0.0368,163,40
