Fraction Removed,LCC Size,Number of Components
0.0000,2439,11
0.0002,2438,11
0.0004,2437,11
0.0006,2436,11
0.0008,2435,11
0.0010,2434,11
0.0012,2433,11
0.0014,2432,11
0.0016,2431,11
0.0018,2430,11
0.0020,2429,11
0.0022,2428,11
0.0024,2427,11
0.0026,2426,11
0.0028,2425,11
0.0030,2424,11
0.0032,2423,11
0.0034,2422,11
0.0036,2421,11
0.0038,2421,11
0.0040,2420,11
0.0042,2419,11
0.0044,2418,11
0.0046,2417,11
0.0048,2416,11
0.0050,2415,11
0.0052,2414,11
0.0054,2413,11
0.0056,2412,11
0.0058,2411,11
0.0060,2410,11
0.0062,2409,11
0.0064,2408,11
0.0066,2407,11
0.0068,2406,11
0.0070,2405,11
0.0072,2404,11
0.0074,2403,11
0.0076,2402,11
0.0078,2401,11
0.0080,2400,11
0.0082,2399,11
0.0084,2398,11
0.0086,2397,11
0.0088,2396,11
0.0090,2395,11
0.0092,2394,11
0.0094,2393,11
0.0096,2392,11
0.0098,2392,11
0.0100,2391,11
0.0102,2390,11
0.0104,2390,12
0.0106,2389,12
0.0108,2388,12
0.0110,2387,12
0.0112,2386,12
0.0114,2385,12
0.0116,2384,12
0.0118,2383,12
0.0120,2382,12
0.0122,2381,12
0.0124,2380,12
0.0126,2379,12
0.0128,2378,12
0.0130,2377,12
0.0132,2376,12
0.0134,2375,12
0.0136,2374,12
0.0138,2373,12
0.0140,2372,12
0.0142,2371,12
0.0144,2370,12
0.0146,2369,12
0.0148,2368,12
0.0150,2367,12
0.0152,2366,12
0.0154,2365,12
0.0156,2365,12
0.0158,2364,12
0.0160,2363,12
0.0162,2362,12
0.0164,2361,12
0.0166,2360,12
0.0168,2359,12
0.0170,2358,12
0.0172,2357,12
0.0174,2356,12
0.0176,2355,12
0.0178,2354,12
0.0180,2353,12
0.0182,2352,12
0.0184,2351,12
0.0186,2350,12
0.0188,2349,12
0.0190,2348,12
0.0192,2347,12
0.0194,2346,12
0.0196,2345,12
0.0198,2344,12
0.0200,2343,12
0.0202,2342,12
0.0204,2341,12
0.0206,2340,12
0.0208,2339,12
0.0210,2338,12
0.0212,2337,12
0.0214,2336,12
0.0216,2335,12
0.0218,2334,12
0.0220,2333,12
0.0222,2332,12
0.0224,2331,12
0.0226,2330,12
0.0228,2329,12
0.0230,2328,12
0.0232,2327,12
0.0234,2326,12
0.0236,2325,12
0.0238,2324,12
0.0240,2323,12
0.0242,2322,12
0.0244,2321,12
0.0246,2320,12
0.0248,2319,12
0.0250,2318,12
0.0252,2317,12
0.0254,2316,12
0.0256,2315,12
0.0258,2314,12
0.0260,2313,12
0.0262,2312,12
0.0264,2311,12
0.0266,2310,12
0.0268,2309,12
0.0270,2308,12
0.0272,2307,12
0.0274,2306,12
0.0276,2305,12
0.0278,2304,12
0.0280,2303,12
0.0282,2302,12
0.0284,2301,12
0.0286,2300,12
0.0288,2299,12
0.0290,2298,12
0.0292,2297,12
0.0294,2296,12
0.0296,2295,12
0.0298,2294,12
0.0300,2293,12
0.0302,2292,12
0.0304,2291,12
0.0306,2290,12
0.0308,2289,12
0.0310,2288,12
0.0312,2287,12
0.0314,2286,12
0.0316,2285,12
0.0318,2284,12
0.0320,2283,12
0.0322,2282,12
0.0324,2281,12
0.0326,2280,12
0.0328,2279,12
0.0330,2278,12
0.0332,2277,12
0.0334,2276,12
0.0336,2275,12
0.0338,2274,12
0.0340,2273,12
0.0342,2272,12
